Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginVerifications,Chrome 127.0.0.0,,,31-07-2024 17:00:22,31-07-2024 17:00:55,32.606s,FAILED
,,,,,,,
Test Cases/LoginTests/LoginAsValidUser,Chrome 127.0.0.0,Login as a valid user and verify the login is successful,Login,31-07-2024 17:00:47,31-07-2024 17:00:55,7.740s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,31-07-2024 17:00:47,31-07-2024 17:00:49,1.565s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 127.0.0.0,,,31-07-2024 17:00:49,31-07-2024 17:00:55,5.986s,PASSED
waitForPageLoad(0),Chrome 127.0.0.0,,,31-07-2024 17:00:55,31-07-2024 17:00:55,0.022s,PASSED
"setText(findTestObject(""Object Repository/PasswordField""), ""Admin"")",Chrome 127.0.0.0,,,31-07-2024 17:00:55,31-07-2024 17:00:55,0.146s,FAILED
