Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginVerifications,Chrome 127.0.0.0,,,06-08-2024 15:20:58,06-08-2024 15:22:36,1m - 37.584s,FAILED
,,,,,,,
Test Cases/LoginTests/LoginAsValidUser,Chrome 127.0.0.0,Login as a valid user and verify the login is successful,Login,06-08-2024 15:21:57,06-08-2024 15:22:36,38.933s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,06-08-2024 15:21:57,06-08-2024 15:21:59,2.511s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 127.0.0.0,,,06-08-2024 15:21:59,06-08-2024 15:22:36,36.197s,PASSED
waitForPageLoad(0),Chrome 127.0.0.0,,,06-08-2024 15:22:36,06-08-2024 15:22:36,0.047s,PASSED
"setText(findTestObject(""Object Repository/PasswordField""), ""Admin"")",Chrome 127.0.0.0,,,06-08-2024 15:22:36,06-08-2024 15:22:36,0.146s,FAILED
