Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginVerifications,Chrome 127.0.0.0,,,06-08-2024 13:14:33,06-08-2024 13:15:32,59.697s,FAILED
,,,,,,,
Test Cases/LoginTests/LoginAsValidUser,Chrome 127.0.0.0,Login as a valid user and verify the login is successful,Login,06-08-2024 13:15:15,06-08-2024 13:15:32,17.019s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,06-08-2024 13:15:15,06-08-2024 13:15:18,2.235s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 127.0.0.0,,,06-08-2024 13:15:18,06-08-2024 13:15:32,14.546s,PASSED
waitForPageLoad(0),Chrome 127.0.0.0,,,06-08-2024 13:15:32,06-08-2024 13:15:32,0.059s,PASSED
"setText(findTestObject(""Object Repository/PasswordField""), ""Admin"")",Chrome 127.0.0.0,,,06-08-2024 13:15:32,06-08-2024 13:15:32,0.149s,FAILED
