Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginVerifications,Chrome 127.0.0.0,,,02-08-2024 13:31:15,02-08-2024 13:31:48,33.135s,FAILED
,,,,,,,
Test Cases/LoginTests/LoginAsValidUser,Chrome 127.0.0.0,Login as a valid user and verify the login is successful,Login,02-08-2024 13:31:40,02-08-2024 13:31:48,7.888s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,02-08-2024 13:31:40,02-08-2024 13:31:42,1.463s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 127.0.0.0,,,02-08-2024 13:31:42,02-08-2024 13:31:48,6.194s,PASSED
waitForPageLoad(0),Chrome 127.0.0.0,,,02-08-2024 13:31:48,02-08-2024 13:31:48,0.034s,PASSED
"setText(findTestObject(""Object Repository/PasswordField""), ""Admin"")",Chrome 127.0.0.0,,,02-08-2024 13:31:48,02-08-2024 13:31:48,0.172s,FAILED
